Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBtr0345460	274	102	54	551	184	212	142	153	76	281	253	263	194.61	124	266	2.157	1.109	3.637	0.000275836892681552	0.00519683755956266	0.0625	0.0594	0.0603	0.0603	TRUE	NA
FBtr0343016	81	54	70	605	142	122	42	81	99	309	195	151	146.12	74	218	3.01	1.59	3.635	0.000277729234006105	0.00522692327532128	0.1937	0.0705	0.1277	0.1277	TRUE	NA
FBtr0071168	1066	524	690	1639	978	1023	552	785	972	837	1343	1269	959.6	770	1150	1.497	0.582	3.634	0.00027907717085379	0.00524671012707162	0.0061	0.0327	0.0173	0.0173	TRUE	NA
FBtr0075679	388	132	106	670	208	247	201	198	149	342	286	306	247	183	311	1.707	0.771	3.633	0.000280132916171178	0.0052553885683821	0.0015	0.0523	0.0277	0.0277	TRUE	NA
FBtr0345317	2721	1206	1457	3653	2051	2245	1408	1806	2053	1865	2816	2785	2122.33	1756	2489	1.407	0.493	3.632	0.000281603030626758	0.00527737204959531	0.0029	0.029	0.0128	0.0128	TRUE	NA
FBtr0305263	42	40	40	337	58	164	22	60	56	172	80	203	98.86	46	152	3.602	1.849	3.631	0.000281912599656526	0.00527758285769694	0.2625	0.0918	0.1712	0.1712	TRUE	NA
FBtr0088659	801	293	268	1315	465	463	415	439	378	671	639	574	519.23	411	628	1.532	0.615	3.63	0.000282889877112902	0.00528786184556603	0.0033	0.0385	0.0185	0.0185	TRUE	NA
FBtr0273277	5038	1988	2429	7825	3093	3600	2607	2978	3422	3996	4247	4466	3619.32	3002	4236	1.417	0.503	3.63	0.000283059474747105	0.00528786184556603	0.0048	0.0277	0.0135	0.0135	TRUE	NA
FBtr0078917	3383	973	938	4558	1420	1638	1751	1457	1321	2328	1950	2032	1806.51	1510	2103	1.397	0.482	3.624	0.000290275069844385	0.00541122893637198	0.0016	0.0295	0.0121	0.0121	TRUE	NA
FBtr0334883	57	47	45	148	121	91	29	70	63	76	166	113	86.32	54	118	2.237	1.162	3.61	0.000305941959942955	0.00568531429973825	0.0243	0.1014	0.0602	0.0602	TRUE	NA
FBtr0343377	209	53	80	601	104	184	108	79	113	307	143	228	163.04	100	226	2.217	1.148	3.61	0.000305912571475231	0.00568531429973825	0.0632	0.0659	0.0645	0.0645	TRUE	NA
FBtr0332155	362	53	51	583	109	167	187	79	72	298	150	207	165.52	113	218	2.035	1.025	3.603	0.000315034583904866	0.00584200924933018	0.0335	0.0653	0.0495	0.0495	TRUE	NA
FBtr0076500	191	123	102	709	265	183	99	184	144	362	364	227	229.96	142	318	2.293	1.198	3.598	0.000320193365273476	0.0059219935475688	0.0957	0.0542	0.0743	0.0743	TRUE	NA
FBtr0302973	992	84	57	1433	179	291	513	126	80	732	246	361	343.01	240	446	2.279	1.189	3.595	0.00032497856737255	0.00599499044357433	0.1067	0.0449	0.073	0.073	TRUE	NA
FBtr0332589	84	51	63	143	128	141	43	76	89	73	176	175	105.39	69	141	1.957	0.969	3.595	0.000324977812933386	0.00599499044357433	0	0.0877	0.041	0.041	TRUE	NA
FBtr0078919	53	18	18	354	54	36	27	27	25	181	74	45	63.22	26	100	3.358	1.747	3.594	0.000326047521372568	0.00600844447979386	0.1525	0.1289	0.1406	0.1406	TRUE	NA
FBtr0343995	69	15	17	217	42	40	36	22	24	111	58	50	50.04	27	73	2.607	1.382	3.588	0.0003326588424529	0.00612389966892223	0.0087	0.1561	0.0768	0.0768	TRUE	NA
FBtr0077721	831	263	263	1150	478	474	430	394	371	587	656	588	504.36	398	610	1.53	0.613	3.586	0.00033619389945515	0.00618254290567677	0.0044	0.0388	0.0188	0.0188	TRUE	NA
FBtr0073424	42	19	12	103	78	49	22	28	17	53	107	61	47.93	22	74	3.17	1.664	3.585	0.000337262808365065	0.00618933230579498	0.0865	0.1618	0.1249	0.1249	TRUE	NA
FBtr0070724	266	96	108	904	158	212	138	144	152	462	217	263	229.2	145	314	2.091	1.064	3.583	0.00033907938973201	0.00621622122668289	0.0615	0.0543	0.0576	0.0576	TRUE	NA
FBtr0087382	2404	837	830	3146	1273	1456	1244	1254	1169	1606	1748	1806	1471.31	1222	1720	1.404	0.49	3.581	0.000342314837065858	0.00625608655220258	0.0019	0.0303	0.0127	0.0127	TRUE	NA
FBtr0076301	1629	638	736	2326	991	1322	843	956	1037	1188	1361	1640	1170.69	945	1396	1.472	0.558	3.576	0.00034879949331328	0.00636802047080004	0.0065	0.0315	0.0166	0.0166	TRUE	NA
FBtr0073471	7546	3035	3809	10940	4958	5526	3905	4546	5366	5586	6808	6856	5511.19	4606	6417	1.396	0.481	3.567	0.000360671183723596	0.00655095884112334	0.0043	0.0271	0.0129	0.0129	TRUE	NA
FBtr0081620	70	31	20	179	82	62	36	46	28	91	113	77	65.29	37	94	2.536	1.342	3.565	0.000363736953671363	0.00658635665035833	0.033	0.1257	0.0819	0.0819	TRUE	NA
FBtr0081873	352	92	130	649	186	226	182	138	183	331	255	280	228.38	168	289	1.722	0.784	3.564	0.000365539803106913	0.00661223380037259	0.0048	0.0544	0.0296	0.0296	TRUE	NA
FBtr0331661	147	44	43	468	93	80	76	66	61	239	128	99	111.41	68	155	2.21	1.144	3.551	0.000383333653268873	0.00691290077469891	0.0417	0.0844	0.062	0.062	TRUE	NA
FBtr0346633	1094	103	131	1889	195	200	566	154	185	965	268	248	397.58	302	494	1.59	0.669	3.546	0.000390519023125645	0.00702100816881686	0.003	0.0423	0.0212	0.0212	TRUE	NA
FBtr0086196	211	154	150	337	249	302	109	231	211	172	342	375	239.97	184	296	1.606	0.684	3.538	0.000402848195214101	0.00720605401570542	0	0.0531	0.0222	0.0222	TRUE	NA
FBtr0079266	6712	2510	2972	9458	3781	4499	3473	3759	4187	4830	5192	5581	4503.83	3806	5201	1.367	0.451	3.537	0.000404227177744993	0.00721612815488059	0.0024	0.0274	0.0115	0.0115	TRUE	NA
FBtr0340437	3441	1273	1632	4600	2269	2759	1781	1907	2299	2349	3116	3423	2479.01	1996	2963	1.471	0.557	3.535	0.000407651566551843	0.00726992324986759	0.0096	0.0285	0.0174	0.0174	TRUE	NA
FBtr0079290	3317	1010	1195	4222	1772	2162	1717	1513	1683	2156	2433	2682	2030.7	1638	2424	1.474	0.56	3.532	0.000411780095471064	0.0073361547522443	0.011	0.0291	0.0176	0.0176	TRUE	NA
FBtr0344026	186	111	138	485	189	257	96	166	194	248	260	319	213.83	152	276	1.887	0.916	3.525	0.000422914500120314	0.00752694207407291	0.0313	0.0564	0.0433	0.0433	TRUE	NA
FBtr0085584	370	130	161	511	286	330	191	195	227	261	393	409	279.35	204	354	1.692	0.759	3.523	0.000425896933645421	0.00757240467650366	0.013	0.0492	0.0294	0.0294	TRUE	NA
FBtr0074376	875	404	441	1257	628	697	453	605	621	642	862	865	674.69	560	790	1.411	0.497	3.521	0.000430451320312011	0.00763802839281824	0	0.0356	0.0128	0.0128	TRUE	NA
