Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0053111	532	166	146	367	121	143	268	259	208	187	169	175	211.18	245	177	0.722	-0.469	-2.935	0.00333155057392859	0.023260943412965	0	0.0169	0.0133	0.0133	TRUE	NA
FBgn0002922	79	26	22	38	11	11	40	41	31	19	15	13	26.67	37	16	0.436	-1.199	-2.932	0.00336670869980046	0.0234697179463061	0	0.1024	0.0747	0.0747	TRUE	NA
FBgn0036762	5243	2075	2390	4283	2084	2394	2641	3243	3405	2184	2915	2934	2887.04	3096	2678	0.861	-0.216	-2.93	0.00339250617848823	0.0236126891456741	0	0.0054	0.0035	0.0035	TRUE	NA
FBgn0085483	183	39	33	106	20	22	92	61	47	54	28	27	51.52	67	36	0.543	-0.882	-2.93	0.00339187658485627	0.0236126891456741	0	0.0552	0.0413	0.0413	TRUE	NA
FBgn0083969	4524	1423	1493	3952	1288	1507	2279	2224	2127	2015	1801	1847	2048.95	2210	1888	0.855	-0.226	-2.926	0.00343587563314385	0.0238773302754666	0	0.0058	0.0038	0.0038	TRUE	NA
FBgn0011659	1181	423	437	906	395	408	595	661	623	462	552	500	565.52	626	505	0.803	-0.316	-2.924	0.00345255298820689	0.0239745709056668	0	0.0091	0.0065	0.0065	TRUE	NA
FBgn0014009	4079	1266	1441	3254	1136	1503	2054	1979	2053	1659	1589	1842	1862.78	2029	1697	0.836	-0.259	-2.924	0.00345758009034202	0.0239908237814718	0.0031	0.0059	0.0051	0.0051	TRUE	NA
FBgn0030502	5586	1975	1814	4882	1661	1816	2813	3087	2585	2490	2323	2226	2587.22	2828	2346	0.83	-0.269	-2.91	0.00360868748908436	0.0248271026791397	0.0058	0.0055	0.0057	0.0057	TRUE	NA
FBgn0260990	8470	3072	3041	6945	2853	3258	4266	4801	4333	3542	3990	3993	4154.22	4467	3842	0.859	-0.22	-2.906	0.00365658256665189	0.025117909477078	0.0014	0.0052	0.0039	0.0039	TRUE	NA
FBgn0022768	4878	1814	1690	3953	1612	1784	2457	2835	2408	2016	2255	2187	2359.49	2567	2153	0.838	-0.255	-2.906	0.00366335025980024	0.0251291748180176	0.0037	0.0056	0.0051	0.0051	TRUE	NA
FBgn0029131	2543	1016	1050	2081	917	1099	1281	1588	1496	1061	1283	1347	1342.59	1455	1230	0.844	-0.244	-2.905	0.00367496904676915	0.025186088708863	0	0.0065	0.0043	0.0043	TRUE	NA
FBgn0052485	426	158	180	284	124	170	215	247	256	145	173	208	207.43	239	175	0.727	-0.461	-2.903	0.00369315561948577	0.0252719384536459	0	0.0171	0.0131	0.0131	TRUE	NA
FBgn0086782	633	160	125	542	86	103	319	250	178	276	120	126	211.65	249	174	0.678	-0.561	-2.9	0.00373727080293669	0.0255542329787325	0.0332	0.0169	0.0211	0.0211	TRUE	NA
FBgn0263197	10132	3688	3326	7610	3359	3548	5103	5764	4739	3881	4698	4349	4755.58	5202	4309	0.826	-0.276	-2.894	0.00380208808857509	0.0259576809105317	0.0081	0.0051	0.0063	0.0063	TRUE	NA
FBgn0014141	41696	18718	16962	32275	17352	17230	21001	29253	24169	16458	24270	21119	22711.51	24808	20616	0.827	-0.274	-2.888	0.00387225027813753	0.0263700768606391	0.0092	0.0046	0.0064	0.0064	TRUE	NA
