Id	Ctrl1	Ctrl3	Ctrl4	RNAi1	RNAi3	RNAi4	norm.Ctrl1	norm.Ctrl3	norm.Ctrl4	norm.RNAi1	norm.RNAi3	norm.RNAi4	baseMean	Untreated	RNAi	FoldChange	log2FoldChange	stat	pvalue	padj	dispGeneEst	dispFit	dispMAP	dispersion	betaConv	maxCooks
FBgn0030494	3	2	3	1	0	1	2	3	4	1	0	1	1.77	3	1	0.206	-2.277	-1.348	0.177737616323688	NA	0	1.7875	1.1133	1.1133	TRUE	0.2454
FBgn0030495	31	11	7	10	7	6	16	17	10	5	10	7	10.84	14	7	0.496	-1.012	-1.548	0.12159061862298	0.474870472118077	0	0.3034	0.2008	0.2008	TRUE	0.4321
FBgn0030499	1302	565	542	1226	634	730	656	883	772	625	887	895	786.29	770	802	1.041	0.058	0.321	0.747971634791422	0.939261247023974	0.0301	0.0168	0.0222	0.0222	TRUE	0.4654
FBgn0030500	1143	439	429	1172	497	536	576	686	611	598	695	657	637.13	624	650	1.042	0.059	0.422	0.672699209562269	0.916727640693258	0.0056	0.0178	0.0123	0.0123	TRUE	0.0845
FBgn0030501	3122	788	906	2622	711	901	1572	1231	1291	1337	994	1104	1255.12	1365	1145	0.839	-0.253	-1.603	0.108892205637414	0.451117616563929	0.0192	0.0154	0.0171	0.0171	TRUE	0.2651
FBgn0030502	5586	1975	1814	4882	1661	1816	2813	3087	2585	2490	2323	2226	2587.22	2828	2346	0.83	-0.268	-2.263	0.0236309300198007	0.175484910215349	0.005	0.0141	0.0097	0.0097	TRUE	0.0753
FBgn0030503	337	106	138	359	152	141	170	166	197	183	213	173	183.42	178	190	1.068	0.095	0.502	0.615492543049942	0.898278237087635	0.0026	0.03	0.0198	0.0198	TRUE	0.1069
FBgn0030504	5392	1959	2167	5039	2247	2311	2716	3062	3088	2570	3143	2833	2901.67	2955	2849	0.964	-0.053	-0.427	0.669038104406927	0.914817684364829	0.0074	0.0139	0.0108	0.0108	TRUE	0.0987
FBgn0030505	4211	1394	1204	3120	1190	1274	2121	2179	1716	1591	1664	1562	1805.33	2005	1606	0.8	-0.322	-2.47	0.0135267180071437	0.116071750760721	0.0076	0.0146	0.0116	0.0116	TRUE	0.1891
FBgn0030506	731	239	300	815	282	355	368	374	427	416	394	435	402.38	390	415	1.068	0.095	0.655	0.512457432088547	0.857385740256431	0.0017	0.0207	0.0126	0.0126	TRUE	0.0778
FBgn0030507	645	186	302	580	233	275	325	291	430	296	326	337	334.1	349	320	0.916	-0.127	-0.692	0.488776084126446	0.845509532203195	0.0195	0.0223	0.0209	0.0209	TRUE	0.4451
FBgn0030508	477	240	214	574	124	141	240	375	305	293	173	173	259.87	307	213	0.706	-0.503	-2.006	0.0448920525845087	0.266036934378057	0.0707	0.025	0.0411	0.0411	TRUE	0.4349
FBgn0030509	1	0	0	0	1	0	1	0	0	0	1	0	0.32	0	0	1.107	0.146	0.037	0.970226821095023	NA	0	9.9452	9.2436	9.2436	TRUE	0.68
FBgn0030510	707	275	336	706	377	464	356	430	479	360	527	569	453.44	422	485	1.15	0.202	0.999	0.317902886310852	0.738154590294776	0.0383	0.0198	0.0271	0.0271	TRUE	0.6395
FBgn0030511	337	113	125	342	149	167	170	177	178	174	208	205	185.32	175	196	1.115	0.157	0.859	0.390420406512801	0.794366045077907	0	0.0298	0.0184	0.0184	TRUE	0.1197
FBgn0030512	2242	923	926	2400	967	1109	1129	1442	1319	1224	1353	1359	1304.47	1297	1312	1.013	0.019	0.139	0.889505938866462	0.977523676432273	0.0088	0.0153	0.0123	0.0123	TRUE	0.1621
FBgn0030514	3163	1155	1242	2579	1183	1383	1593	1805	1770	1315	1655	1695	1638.79	1723	1555	0.902	-0.149	-1.072	0.283788149032853	0.703507109222272	0.0103	0.0148	0.0132	0.0132	TRUE	0.2277
FBgn0030518	516	171	187	521	184	244	260	267	266	266	257	299	269.28	264	274	1.036	0.051	0.323	0.746484036734529	0.938782053706734	0	0.0245	0.0142	0.0142	TRUE	0.0662
FBgn0030519	1905	717	993	1722	774	994	959	1121	1415	878	1083	1218	1112.32	1165	1060	0.91	-0.136	-0.76	0.447088638590296	0.826529369847191	0.0319	0.0157	0.0222	0.0222	TRUE	0.4015
